Time (s),Elbow F/E Pos,Forearm P/S Pos,Wrist F/E Pos,Wrist R/U Pos,Last DoF Pos,Elbow F/E Pos (Deg),Forearm P/S Pos (Deg),Wrist F/E Pos (Deg),Wrist R/U Pos (Deg),Last DoF Pos (Deg),Robot Joint 1 Pos,Robot Joint 2 Pos,Robot Joint 3 Pos,Robot Joint 4 Pos,Robot Joint 5 Pos,Elbow F/E Vel,Forearm P/S Vel,Wrist F/E Vel,Wrist R/U Pos,Last DoF Pos,Robot Joint 1 Vel,Robot Joint 2 Vel,Robot Joint 3 Vel,Robot Joint 4 Vel,Robot Joint 5 Vel
2.09046,-0.371101,-0.57491,0.125647,-0.0655968,0.0887405,-21.26252107,-32.9399166,7.199042808,-3.75841979,5.084456122,-0.371101,-0.57491,0.106185,0.0967127,0.105616,0,0,-0.00519358,0.0298615,-0.000780227,0,0,-0.00215895,0,0
2.09146,-0.371101,-0.57491,0.125636,-0.0655349,0.0887389,-21.26252107,-32.9399166,7.198412555,-3.754873181,5.084364449,-0.371101,-0.57491,0.106181,0.0967127,0.105616,0,0,-0.00574729,0.0330481,-0.000863493,0,0,-0.00238925,0,0
2.09246,-0.371101,-0.57491,0.125636,-0.0655349,0.0887389,-21.26252107,-32.9399166,7.198412555,-3.754873181,5.084364449,-0.371101,-0.57491,0.106181,0.0967127,0.105616,0,0,-0.00574729,0.0330481,-0.000863493,0,0,-0.00238925,0,0
2.09346,-0.371101,-0.57491,0.125636,-0.0655349,0.0887389,-21.26252107,-32.9399166,7.198412555,-3.754873181,5.084364449,-0.371101,-0.57491,0.106181,0.0967127,0.105616,0,0,-0.00574729,0.0330481,-0.000863493,0,0,-0.00238925,0,0
2.09446,-0.371101,-0.57491,0.125625,-0.0654729,0.0887373,-21.26252107,-32.9399166,7.197782301,-3.751320842,5.084272775,-0.371101,-0.57491,0.106176,0.0967127,0.105616,0,0,-0.00545606,0.0313763,-0.000819817,0,0,-0.00226829,0,0
2.09546,-0.371101,-0.57491,0.125625,-0.0654729,0.0887373,-21.26252107,-32.9399166,7.197782301,-3.751320842,5.084272775,-0.371101,-0.57491,0.106176,0.0967127,0.105616,0,0,-0.00545606,0.0313763,-0.000819817,0,0,-0.00226829,0,0
2.09646,-0.371101,-0.57491,0.125615,-0.0654109,0.0887357,-21.26252107,-32.9399166,7.197209344,-3.747768504,5.084181102,-0.371101,-0.57491,0.106172,0.0967127,0.105616,0,0,-0.00545577,0.0313775,-0.000819853,0,0,-0.00226829,0,0
2.09747,-0.371101,-0.57491,0.125615,-0.0654109,0.0887357,-21.26252107,-32.9399166,7.197209344,-3.747768504,5.084181102,-0.371101,-0.57491,0.106172,0.0967127,0.105616,0,0,-0.00545577,0.0313775,-0.000819853,0,0,-0.00226829,0,0
2.09847,-0.371101,-0.57491,0.125604,-0.0653489,0.0887341,-21.26252107,-32.9399166,7.19657909,-3.744216166,5.084089429,-0.371101,-0.57491,0.106167,0.0967127,0.105616,0,0,-0.0060703,0.0349149,-0.000912288,0,0,-0.00252392,0,0
2.09947,-0.371101,-0.57491,0.125604,-0.0653489,0.0887341,-21.26252107,-32.9399166,7.19657909,-3.744216166,5.084089429,-0.371101,-0.57491,0.106167,0.0967127,0.105616,0,0,-0.0060703,0.0349149,-0.000912288,0,0,-0.00252392,0,0
2.10047,-0.371101,-0.57491,0.125604,-0.0653489,0.0887341,-21.26252107,-32.9399166,7.19657909,-3.744216166,5.084089429,-0.371101,-0.57491,0.106167,0.0967127,0.105616,0,0,-0.0060703,0.0349149,-0.000912288,0,0,-0.00252392,0,0
