Time (s),anat_pos_1,anat_pos_2,anat_pos_3,anat_pos_4,anat_pos_5,robo_pos_1,robo_pos_2,robo_pos_3,robo_pos_4,robo_pos_5,anat_vel_1,anat_vel_2,anat_vel_3,anat_vel_4,anat_vel_5,robo_vel_1,robo_vel_2,robo_vel_3,robo_vel_4,robo_vel_5
0.094917,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.095917,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.097772,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.098174,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.099185,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.100232,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.101211,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.102238,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.103205,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.104218,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.105207,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.106212,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.107209,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.10821,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.109211,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.11022,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.111773,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.113218,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.1142,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.115217,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.1162,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.117216,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.118201,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.119211,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.120216,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.121215,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.122216,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.123217,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.124218,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.12523,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.12622,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.128144,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.128439,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.129427,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.130424,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.131424,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.133274,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.133541,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
